mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,rms,glcm_1,glcm_2,glcm_3,glcm_4,glcm_5,glcm_6,hog_1,hog_2,hog_3,hog_4,hog_5,hog_6,hog_7,hog_8,hog_9,hog_10,hog_11,hog_12,hog_13,hog_14,hog_15,hog_16,hog_17,hog_18,hog_19,hog_20,hog_21,hog_22,hog_23,hog_24,hog_25,hog_26,hog_27,hog_28,hog_29,hog_30,hog_31,hog_32,hog_33,hog_34,hog_35,hog_36,hog_37,hog_38,hog_39,hog_40,hog_41,hog_42,hog_43,hog_44,hog_45,hog_46,hog_47,hog_48,hog_49,hog_50,label
-10.346190373665534,-7.818616788557079,-32.358948119355325,5.237098518857382,1.3645279855057484,-10.974920809994705,4.998127679999182,-10.614762496184508,-15.07443387060796,3.207847880016815,-5.518741698976882,-7.112172231503226,2.593831739056012,0.06839002267573696,0.008963376775847614,603.3499478957915,4.224769539078155,0.7281975802440126,0.13432747511857374,0.366507128332552,0.9495942635271963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.616971742494185,-9.72562605895561,-31.176375562281045,8.202165643437917,-4.465847797968998,-8.866682860014322,3.531072070469896,-18.315047206994304,-8.219314711001546,1.8902116423760718,-10.800813610966777,-2.0747586486385146,-0.238134933446263,0.07630385487528345,0.006440619772997069,607.0261002004007,4.134733466933867,0.751724523871212,0.1349745938691009,0.36738888642567963,0.9453125835235041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.94581541275844,-13.71086573238235,-28.850219321334308,9.43882109675251,-9.050183242360852,-7.519904194815664,-3.4913548293380483,-20.990864565513377,-0.7532027214987352,-3.2723719186193456,-11.440979123050324,0.9843297090540473,-5.549961277172692,0.08090702947845806,0.004127733552368913,606.9545490981964,4.1691703406813625,0.7407600400963082,0.1343481553246774,0.36653533980324104,0.9468213729820839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-11.496069249584128,-13.091130618615166,-28.71305764390257,7.862354978947309,-1.7501960280364295,-11.801712284991632,1.9529888229400332,-19.2486283817605,-11.62226242881846,-0.31804256868990954,-11.870003203261893,-2.517458058829413,2.448314656252469,0.06757369614512472,0.004256600787717943,607.2786533066133,4.111150300601203,0.7579968261943857,0.1357041475656724,0.3683804386305988,0.944441390691384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-9.44099367091516,-9.878917690025217,-31.006882955541034,8.07408699428626,-4.41953418776965,-8.848781460182666,3.5559044608971155,-18.378002513300604,-8.145924176896548,1.8121510793649265,-10.768983302152103,-2.064915473251874,-0.2665356912928182,0.07630385487528345,0.011453447165618896,602.6093787575148,4.179543086172344,0.7329168615271049,0.1341090288633378,0.3662089961529315,0.9508060767527542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-11.226660350426457,-9.570980853306606,-29.780143012589694,5.365580494900431,3.426970823670163,-10.866901824092652,5.565015839891623,-8.603147169720573,-14.419733762604373,0.8956294623929418,-5.4897804394321925,-6.726588417377445,3.8847867264362432,0.06759637188208617,0.005458395458869772,602.4450661322645,4.165787575150301,0.735674460033551,0.13459995280340237,0.3668786622350806,0.9502363342953998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-11.54290561393739,-12.982113179443205,-27.709444949322524,7.521737829592396,-1.7318349969817297,-9.867385086861741,2.990156437051476,-15.628962300531123,-9.909213957402619,0.5318809878190255,-7.816137181084468,-0.5695193103568975,1.7291029728422287,0.0701814058956916,0.003985597147017054,603.9635430861723,4.148248496993988,0.7420899263103036,0.13470142699828513,0.36701693012487197,0.9493075230889264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-12.048351801182424,-10.430656407178741,-25.266152092664246,3.835896164056405,3.9171370539232795,-8.40770387830804,4.889536411184756,-10.759662619372726,-15.634565307487597,-0.4671055049268719,-5.405750758215002,-6.684771415222747,4.027181526351732,0.051111111111111114,0.004167539334771309,607.4365531062124,4.095166332665331,0.760715807922232,0.13624887909687108,0.36911905815992635,0.9462975124119749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.044648618908015,-9.753825620507092,-29.613719463380665,5.2376524330403695,3.4850031213984844,-10.876711460982653,5.563673356339062,-8.576697491119102,-14.376440584598479,0.852469124455544,-5.431755921905791,-6.752480976600759,3.883917332858387,0.06759637188208617,0.009706707842167822,601.8618677354708,4.171222444889779,0.7335966302167283,0.1345497410532487,0.36681022484828407,0.9508596786609401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-9.167766083718096,-7.9643373108075695,-32.21781085311808,5.189963879247515,1.4371348249251292,-10.90425023321299,5.063815736576831,-10.588299145693847,-14.993836692997032,3.2270355339447154,-5.502244377950078,-7.062087811536212,2.6418730886038615,0.06839002267573696,0.015939508359865313,604.3539238476953,4.213611222444889,0.7330843134325651,0.13455837584588007,0.36682199476841637,0.9482939902095386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
